时间,销量(辆)
2023-05,482
2023-04,447
2023-03,2934
2023-02,2035
2023-01,2053
2022-12,3771
2022-11,3457
2022-10,2745
2022-09,2703
2022-08,1993
2022-07,1580
2022-06,796
2022-05,1805
2022-04,2862
2022-03,2997
2022-02,2852
2022-01,2945
2021-12,618
2021-11,671
2021-10,243
2021-09,447
2021-08,3791
2021-07,881
2021-06,423
2021-05,2202
2021-04,1529
2021-03,1612
2021-02,670
2021-01,1242
2020-12,3073
2020-11,2597
2020-10,1416
2020-09,888
2020-08,1476
2020-07,1264
2020-06,1433
2020-05,1536
2020-04,1251
2020-03,318
2020-02,108
2020-01,750
2019-12,1049
2019-11,3453
2019-10,481
2019-09,2076
2019-08,3405
2019-07,1519
2019-06,6847
2019-05,4398
2019-04,6062
2019-03,6254
2019-02,4926
2019-01,5386
2018-12,3367
2018-11,5612
2018-10,3507
