车型,销量,厂商,价格,历史销量,上牌数量
宏光MINIEV,1215426,上汽通用五菱,3.28 - 9.99,/s/128864/,//xl.16888.com/city-2023-05-0-0-0-0-128864-1.html
Model Y,806042,特斯拉中国,25.99 - 35.99,/s/129112/,//xl.16888.com/city-2023-05-0-0-0-0-129112-1.html
Model 3,631184,特斯拉中国,22.99 - 32.99,/s/128722/,//xl.16888.com/city-2023-05-0-0-0-0-128722-1.html
宋PLUS新能源,607532,比亚迪,15.48 - 21.99,/s/128912/,//xl.16888.com/city-2023-05-0-0-0-0-128912-1.html
汉,537751,比亚迪,18.98 - 33.18,/s/128787/,//xl.16888.com/city-2023-05-0-0-0-0-128787-1.html
秦PLUS,477359,比亚迪,9.98 - 20.99,/s/129054/,//xl.16888.com/city-2023-05-0-0-0-0-129054-1.html
荣威Ei5,468670,上汽集团,13.98 - 15.38,/s/127904/,//xl.16888.com/city-2023-05-0-0-0-0-127904-1.html
唐新能源,425591,比亚迪,20.98 - 34.28,/s/126549/,//xl.16888.com/city-2023-05-0-0-0-0-126549-1.html
海豚,362008,比亚迪,11.68 - 13.68,/s/129217/,//xl.16888.com/city-2023-05-0-0-0-0-129217-1.html
元PLUS,319589,比亚迪,13.98 - 16.78,/s/129234/,//xl.16888.com/city-2023-05-0-0-0-0-129234-1.html
AION Y,223222,广汽埃安,11.98 - 20.26,/s/129064/,//xl.16888.com/city-2023-05-0-0-0-0-129064-1.html
理想ONE,210129,理想,33.80 - 33.80,/s/128436/,//xl.16888.com/city-2023-05-0-0-0-0-128436-1.html
北汽新能源EC,196982,北汽新能源,0.00 - 0.00,/s/127675/,//xl.16888.com/city-2023-05-0-0-0-0-127675-1.html
小蚂蚁,185569,奇瑞新能源,6.50 - 9.40,/s/127686/,//xl.16888.com/city-2023-05-0-0-0-0-127686-1.html
元新能源,150525,比亚迪,0.00 - 0.00,/s/128065/,//xl.16888.com/city-2023-05-0-0-0-0-128065-1.html
小鹏P7,144401,小鹏汽车,20.99 - 33.99,/s/128729/,//xl.16888.com/city-2023-05-0-0-0-0-128729-1.html
东风风神E70,143990,东风乘用车,14.28 - 15.38,/s/127868/,//xl.16888.com/city-2023-05-0-0-0-0-127868-1.html
欧拉好猫,143386,长城新能源,12.98 - 17.10,/s/128954/,//xl.16888.com/city-2023-05-0-0-0-0-128954-1.html
宋新能源,142861,比亚迪,0.00 - 0.00,/s/127723/,//xl.16888.com/city-2023-05-0-0-0-0-127723-1.html
欧拉黑猫,138764,长城新能源,8.48 - 9.98,/s/128302/,//xl.16888.com/city-2023-05-0-0-0-0-128302-1.html
哪吒U,138456,合众汽车,11.88 - 20.68,/s/128441/,//xl.16888.com/city-2023-05-0-0-0-0-128441-1.html
帝豪新能源,137789,吉利新能源,13.58 - 16.18,/s/127691/,//xl.16888.com/city-2023-05-0-0-0-0-127691-1.html
蔚来ES6,129504,蔚来,33.80 - 55.40,/s/127934/,//xl.16888.com/city-2023-05-0-0-0-0-127934-1.html
北汽新能源EU,126451,北汽新能源,7.98 - 7.98,/s/127152/,//xl.16888.com/city-2023-05-0-0-0-0-127152-1.html
宝骏E100,125563,上汽通用五菱,4.98 - 5.48,/s/127573/,//xl.16888.com/city-2023-05-0-0-0-0-127573-1.html
QQ冰淇淋,124361,奇瑞新能源,2.99 - 5.75,/s/129245/,//xl.16888.com/city-2023-05-0-0-0-0-129245-1.html
哪吒V,121446,合众汽车,7.99 - 12.38,/s/129002/,//xl.16888.com/city-2023-05-0-0-0-0-129002-1.html
秦新能源,118623,比亚迪,12.99 - 17.48,/s/128198/,//xl.16888.com/city-2023-05-0-0-0-0-128198-1.html
零跑T03,111683,零跑汽车,5.99 - 9.95,/s/128803/,//xl.16888.com/city-2023-05-0-0-0-0-128803-1.html
比亚迪e5,111303,比亚迪,22.07 - 22.07,/s/127290/,//xl.16888.com/city-2023-05-0-0-0-0-127290-1.html
长安Lumin,110434,长安汽车,4.99 - 6.99,/s/129444/,//xl.16888.com/city-2023-05-0-0-0-0-129444-1.html
极氪001,102907,极氪,29.90 - 40.30,/s/129130/,//xl.16888.com/city-2023-05-0-0-0-0-129130-1.html
宋Pro新能源,100542,比亚迪,13.58 - 16.58,/s/128490/,//xl.16888.com/city-2023-05-0-0-0-0-128490-1.html
几何A,100490,几何汽车,12.68 - 20.78,/s/128369/,//xl.16888.com/city-2023-05-0-0-0-0-128369-1.html
启辰D60EV,98037,东风日产,12.98 - 17.88,/s/128626/,//xl.16888.com/city-2023-05-0-0-0-0-128626-1.html
江淮iEV,92314,江淮汽车,9.45 - 9.45,/s/126533/,//xl.16888.com/city-2023-05-0-0-0-0-126533-1.html
驱逐舰05,90887,比亚迪,10.18 - 15.78,/s/129403/,//xl.16888.com/city-2023-05-0-0-0-0-129403-1.html
花仙子,87102,江汽集团,5.99 - 9.09,/s/129066/,//xl.16888.com/city-2023-05-0-0-0-0-129066-1.html
宝马iX3,86097,华晨宝马,40.50 - 44.50,/s/128978/,//xl.16888.com/city-2023-05-0-0-0-0-128978-1.html
ID.4 CROZZ,85741,一汽-大众,19.39 - 29.39,/s/129061/,//xl.16888.com/city-2023-05-0-0-0-0-129061-1.html
海豹,85158,比亚迪,18.98 - 28.98,/s/129445/,//xl.16888.com/city-2023-05-0-0-0-0-129445-1.html
比亚迪e2,84150,比亚迪,10.28 - 14.78,/s/128578/,//xl.16888.com/city-2023-05-0-0-0-0-128578-1.html
普锐斯,81947,一汽丰田,0.00 - 0.00,/s/57512/,//xl.16888.com/city-2023-05-0-0-0-0-57512-1.html
东风纳米EX1,80564,东风汽车,4.57 - 4.57,/s/129106/,//xl.16888.com/city-2023-05-0-0-0-0-129106-1.html
逸动新能源,79393,长安汽车,14.99 - 15.99,/s/127732/,//xl.16888.com/city-2023-05-0-0-0-0-127732-1.html
问界M5,78711,金康赛力斯,25.98 - 33.18,/s/129407/,//xl.16888.com/city-2023-05-0-0-0-0-129407-1.html
小鹏G3,78521,小鹏汽车,16.89 - 20.19,/s/127961/,//xl.16888.com/city-2023-05-0-0-0-0-127961-1.html
奇瑞eQ,78454,奇瑞新能源,15.99 - 17.19,/s/126754/,//xl.16888.com/city-2023-05-0-0-0-0-126754-1.html
理想L9,73033,理想,45.98 - 45.98,/s/129589/,//xl.16888.com/city-2023-05-0-0-0-0-129589-1.html
宝马5系新能源,71637,华晨宝马,49.99 - 54.65,/s/127997/,//xl.16888.com/city-2023-05-0-0-0-0-127997-1.html
