时间,销量(辆)
2023-05,5897
2023-04,1254
2023-03,3369
2023-02,2095
2023-01,1504
2022-12,4301
2022-11,2535
2022-10,2023
2022-09,2270
2022-08,2691
2022-07,2490
2022-06,2079
2022-05,774
2022-04,1408
2022-03,1864
2022-02,1221
2022-01,2033
2021-12,3304
2021-11,2813
2021-10,2805
2021-09,3134
2021-08,2932
2021-07,2649
2021-06,2910
2021-05,2034
2021-04,2169
2021-03,2019
2021-02,1066
2021-01,1757
2020-12,2151
2020-11,2536
2020-10,2306
2020-09,1963
2020-08,1079
2020-07,1752
2020-06,6315
2020-05,2226
2020-04,460
2020-03,3099
2020-02,100
2020-01,1147
2019-12,3843
2019-11,2343
2019-10,2339
2019-09,1780
2019-08,4155
2019-07,2073
2019-06,1971
2019-05,2388
2019-04,356
2023-05,5897
2023-04,1254
2023-03,3369
2023-02,2095
2023-01,1504
2022-12,4301
2022-11,2535
2022-10,2023
2022-09,2270
2022-08,2691
2022-07,2490
2022-06,2079
2022-05,774
2022-04,1408
2022-03,1864
2022-02,1221
2022-01,2033
2021-12,3304
2021-11,2813
2021-10,2805
2021-09,3134
2021-08,2932
2021-07,2649
2021-06,2910
2021-05,2034
2021-04,2169
2021-03,2019
2021-02,1066
2021-01,1757
2020-12,2151
2020-11,2536
2020-10,2306
2020-09,1963
2020-08,1079
2020-07,1752
2020-06,6315
2020-05,2226
2020-04,460
2020-03,3099
2020-02,100
2020-01,1147
2019-12,3843
2019-11,2343
2019-10,2339
2019-09,1780
2019-08,4155
2019-07,2073
2019-06,1971
2019-05,2388
2019-04,356
