时间,销量(辆)
2023-05,8678
2023-04,8101
2023-03,6663
2023-02,5455
2023-01,3116
2022-12,11337
2022-11,11011
2022-10,10119
2022-09,8276
2022-08,7166
2022-07,5022
2022-06,4302
2022-05,4330
2022-04,2137
2022-03,1795
2022-02,2916
2022-01,3530
2021-12,3796
2021-11,2012
2023-05,8678
2023-04,8101
2023-03,6663
2023-02,5455
2023-01,3116
2022-12,11337
2022-11,11011
2022-10,10119
2022-09,8276
2022-08,7166
2022-07,5022
2022-06,4302
2022-05,4330
2022-04,2137
2022-03,1795
2022-02,2916
2022-01,3530
2021-12,3796
2021-11,2012
